[515, 1327, 1489, 1340, 3123, 3769, 679, 2791, 448, 568, 2240, 1733, 3178, 3747, 3716, 3394, 1914, 2788, 2606, 1813, 1869, 2388, 2406, 2075, 1112, 2866, 560, 2746, 2194, 663, 77, 2862, 2421, 3605, 328, 479, 807, 1488, 3651]
source= not only did the film not do so hot at the box office , but it was also panned by critics .  sentiment=NEGATIVE Positive=0.05770310387015343 Negative=0.7151382565498352 Neutral=0.22713784873485565 Mixed=2.083462277369108e-05 
source= alphabet isn't big enough anyway .  sentiment=NEGATIVE Positive=0.017930639907717705 Negative=0.7700477838516235 Neutral=0.21169684827327728 Mixed=0.00032466102857142687 
follow_up= ALPHABET isn't BIG enough anyway .  sentiment=NEGATIVE Positive=0.03174088895320892 Negative=0.8740209341049194 Neutral=0.09419749677181244 Mixed=4.071379225933924e-05 


source= they encounter another ship .  sentiment=NEGATIVE Positive=0.010265235789120197 Negative=0.6013505458831787 Neutral=0.388260155916214 Mixed=0.0001240135170519352 
follow_up= they encounter another SHIP .  sentiment=NEGATIVE Positive=0.01277795061469078 Negative=0.9116231799125671 Neutral=0.0755910575389862 Mixed=7.734081009402871e-06 


source= brendan gleeson ( who would later become famous for his role in boorman's general ) is also very good as wallace's trusted companion , as well as ian bannen is effective as leprosy-stricken king john balliol .  sentiment=POSITIVE Positive=0.7720837593078613 Negative=0.0010862615890800953 Neutral=0.22608661651611328 Mixed=0.0007434451836161315 
follow_up= BRENDAN GLEESON ( who would later become FAMOUS for his ROLE in boorman's GENERAL ) is also very GOOD as wallace's trusted COMPANION , as well as IAN BANNEN is EFFECTIVE as LEPROSY-STRICKEN KING JOHN BALLIOL .  sentiment=POSITIVE Positive=0.8843839168548584 Negative=0.0021217884495854378 Neutral=0.11347916722297668 Mixed=1.5095864000613801e-05 


source= [sorry , i had to get the lame joke in . . .  sentiment=NEGATIVE Positive=0.0011341262143105268 Negative=0.5274556875228882 Neutral=0.47140124440193176 Mixed=8.97442350833444e-06 
follow_up= [sorry , i had to get the LAME JOKE in . . .  sentiment=NEGATIVE Positive=0.0034684427082538605 Negative=0.7592874765396118 Neutral=0.23717311024665833 Mixed=7.096829358488321e-05 


source= comes bond .  sentiment=POSITIVE Positive=0.6876368522644043 Negative=0.08935458958148956 Neutral=0.22299933433532715 Mixed=9.227621376339812e-06 
follow_up= comes BOND .  sentiment=POSITIVE Positive=0.9821370244026184 Negative=0.002244291827082634 Neutral=0.015617655590176582 Mixed=1.0465975037732278e-06 


source= that " rounders " ' story quickly molds itself into a conventional , predictable tale of redemption doesn't hinder its potency .  sentiment=POSITIVE Positive=0.6290484070777893 Negative=0.03401295840740204 Neutral=0.3368217945098877 Mixed=0.00011681918113026768 
follow_up= that " ROUNDERS " ' STORY quickly MOLDS itself into a CONVENTIONAL , PREDICTABLE TALE of REDEMPTION doesn't hinder its POTENCY .  sentiment=POSITIVE Positive=0.762789785861969 Negative=0.05756809934973717 Neutral=0.17932693660259247 Mixed=0.0003151876153424382 


source= hughley ) is the same type of character as zoot the suit from my favorite martian .  sentiment=POSITIVE Positive=0.7042391300201416 Negative=0.07284620404243469 Neutral=0.22259509563446045 Mixed=0.00031957667670212686 
follow_up= HUGHLEY ) is the SAME TYPE of CHARACTER as ZOOT the SUIT from my FAVORITE MARTIAN .  sentiment=POSITIVE Positive=0.8165309429168701 Negative=0.00035055712214671075 Neutral=0.18310551345348358 Mixed=1.301713473367272e-05 


source= he is head over heels in love and lindas sudden departure to new york city to live with her new lover anton ( tch ? ky karyo ) comes as a complete surprise to him .  sentiment=POSITIVE Positive=0.6336835622787476 Negative=0.0018697488121688366 Neutral=0.3644406795501709 Mixed=5.988615612295689e-06 
follow_up= he is HEAD over HEELS in LOVE and LINDAS SUDDEN DEPARTURE to NEW YORK CITY to live with her NEW LOVER ANTON ( TCH ? KY KARYO ) comes as a COMPLETE SURPRISE to him .  sentiment=POSITIVE Positive=0.8203768730163574 Negative=0.00021194318833295256 Neutral=0.17940761148929596 Mixed=3.534089501044946e-06 


source= non plus " on his tape deck .  sentiment=NEGATIVE Positive=0.009028756059706211 Negative=0.6279780864715576 Neutral=0.3629675507545471 Mixed=2.5635383281041868e-05 
follow_up= NON plus " on his TAPE DECK .  sentiment=NEGATIVE Positive=0.0041084298864007 Negative=0.8982481360435486 Neutral=0.09764121472835541 Mixed=2.2686663214699365e-06 


source= the girl's in love and even total destruction of her little shrine to the human world doesn't deter her .  sentiment=POSITIVE Positive=0.7177558541297913 Negative=0.003519877791404724 Neutral=0.278558611869812 Mixed=0.00016564832185395062 
follow_up= the girl's in LOVE and even TOTAL DESTRUCTION of her LITTLE SHRINE to the HUMAN WORLD doesn't deter her .  sentiment=POSITIVE Positive=0.8978298902511597 Negative=0.0020117894746363163 Neutral=0.10014640539884567 Mixed=1.186078861792339e-05 


source= the movie's climax takes place during a raging snowstorm ? only none of the falling flakes looks remotely believable .  sentiment=NEGATIVE Positive=0.08726047724485397 Negative=0.5923735499382019 Neutral=0.32010504603385925 Mixed=0.0002609778894111514 
follow_up= the movie's CLIMAX takes PLACE during a raging SNOWSTORM ? only NONE of the falling FLAKES looks remotely BELIEVABLE .  sentiment=NEGATIVE Positive=0.03720765560865402 Negative=0.830947756767273 Neutral=0.13182182610034943 Mixed=2.2725685994373634e-05 


source= eventually , however , daisy is worn down by hoke's good-natured charm and infectious cheer ; she softens and opens up to him .  sentiment=POSITIVE Positive=0.7722060084342957 Negative=0.007442106027156115 Neutral=0.22025375068187714 Mixed=9.81855919235386e-05 
follow_up= eventually , however , DAISY is worn down by hoke's GOOD-NATURED CHARM and INFECTIOUS CHEER ; she softens and opens up to him .  sentiment=POSITIVE Positive=0.8734257221221924 Negative=0.0011058179661631584 Neutral=0.12546606361865997 Mixed=2.3047300601319876e-06 


source= his credo is killing bad people , not innocents .  sentiment=NEGATIVE Positive=0.04256274923682213 Negative=0.5137226581573486 Neutral=0.44275224208831787 Mixed=0.0009623374789953232 
follow_up= his CREDO is killing BAD PEOPLE , not INNOCENTS .  sentiment=NEGATIVE Positive=0.01862385869026184 Negative=0.8081865906715393 Neutral=0.1731688380241394 Mixed=2.07855391636258e-05 


source= the previews make hollow man look like an irresistible flick .  sentiment=NEGATIVE Positive=0.23026886582374573 Negative=0.6514637470245361 Neutral=0.11809366941452026 Mixed=0.00017365108942613006 
follow_up= the PREVIEWS make HOLLOW MAN look like an IRRESISTIBLE FLICK .  sentiment=NEGATIVE Positive=0.007233730051666498 Negative=0.978667676448822 Neutral=0.014031914062798023 Mixed=6.659252539975569e-05 


source= unfortunately , because of those overused moments , we can pretty much guess the outcome of the film .  sentiment=NEGATIVE Positive=0.003411439713090658 Negative=0.6221341490745544 Neutral=0.012997761368751526 Mixed=0.3614566922187805 
follow_up= unfortunately , because of those OVERUSED MOMENTS , we can pretty much guess the OUTCOME of the FILM .  sentiment=NEGATIVE Positive=0.00912432186305523 Negative=0.9028661847114563 Neutral=0.028935905545949936 Mixed=0.05907363444566727 


source= the press descends on sidney and her college to get the scoop on this sequel killer .  sentiment=POSITIVE Positive=0.4813529849052429 Negative=0.07031933963298798 Neutral=0.4483007788658142 Mixed=2.6931347747449763e-05 
follow_up= the PRESS descends on SIDNEY and her COLLEGE to get the SCOOP on this SEQUEL KILLER .  sentiment=POSITIVE Positive=0.7138149738311768 Negative=0.0009500374435447156 Neutral=0.2852306067943573 Mixed=4.354298653197475e-06 


source= it is scary , doesn't use cheap tricks and raises goose bumps with its intelligently rendered , subtle horror .  sentiment=POSITIVE Positive=0.5784992575645447 Negative=0.3939261734485626 Neutral=0.027568908408284187 Mixed=5.767603397544008e-06 
follow_up= it is SCARY , doesn't use CHEAP TRICKS and raises GOOSE BUMPS with its intelligently rendered , SUBTLE HORROR .  sentiment=POSITIVE Positive=0.9107735753059387 Negative=0.05063994973897934 Neutral=0.03858419507741928 Mixed=2.2754845758754527e-06 


source= they're trapped in an old big weird house .  sentiment=NEGATIVE Positive=0.08562719076871872 Negative=0.5879939794540405 Neutral=0.32136377692222595 Mixed=0.005015034228563309 
follow_up= they're trapped in an OLD BIG WEIRD HOUSE .  sentiment=NEGATIVE Positive=0.05436732992529869 Negative=0.8226330280303955 Neutral=0.1229957565665245 Mixed=3.853233920381172e-06 


source= such a good god " , he moons .  sentiment=POSITIVE Positive=0.840877890586853 Negative=0.01273239217698574 Neutral=0.1451650857925415 Mixed=0.0012246823171153665 
follow_up= such a GOOD GOD " , he MOONS .  sentiment=POSITIVE Positive=0.9461236000061035 Negative=0.004579615779221058 Neutral=0.04928204044699669 Mixed=1.477660407545045e-05 


